period,respondent,respondent-name,type-name,value,value-units
2024-05-03T22,SOCO,"Southern Company Services, Inc. - Trans",Demand,32286,megawatthours
2024-05-03T23,SOCO,"Southern Company Services, Inc. - Trans",Demand,31291,megawatthours
2024-05-04T00,SOCO,"Southern Company Services, Inc. - Trans",Demand,29983,megawatthours
2024-05-04T01,SOCO,"Southern Company Services, Inc. - Trans",Demand,29278,megawatthours
2024-05-04T02,SOCO,"Southern Company Services, Inc. - Trans",Demand,28373,megawatthours
2024-05-04T03,SOCO,"Southern Company Services, Inc. - Trans",Demand,26834,megawatthours
2024-05-04T04,SOCO,"Southern Company Services, Inc. - Trans",Demand,25058,megawatthours
2024-05-04T05,SOCO,"Southern Company Services, Inc. - Trans",Demand,23741,megawatthours
2024-05-04T06,SOCO,"Southern Company Services, Inc. - Trans",Demand,22333,megawatthours
2024-05-04T07,SOCO,"Southern Company Services, Inc. - Trans",Demand,21263,megawatthours
2024-05-04T08,SOCO,"Southern Company Services, Inc. - Trans",Demand,20599,megawatthours
2024-05-04T09,SOCO,"Southern Company Services, Inc. - Trans",Demand,20716,megawatthours
2024-05-04T10,SOCO,"Southern Company Services, Inc. - Trans",Demand,20641,megawatthours
2024-05-04T11,SOCO,"Southern Company Services, Inc. - Trans",Demand,20644,megawatthours
2024-05-04T12,SOCO,"Southern Company Services, Inc. - Trans",Demand,21065,megawatthours
2024-05-04T13,SOCO,"Southern Company Services, Inc. - Trans",Demand,22086,megawatthours
2024-05-04T14,SOCO,"Southern Company Services, Inc. - Trans",Demand,23150,megawatthours
2024-05-04T15,SOCO,"Southern Company Services, Inc. - Trans",Demand,24528,megawatthours
2024-05-04T16,SOCO,"Southern Company Services, Inc. - Trans",Demand,25928,megawatthours
2024-05-04T17,SOCO,"Southern Company Services, Inc. - Trans",Demand,26887,megawatthours
2024-05-04T18,SOCO,"Southern Company Services, Inc. - Trans",Demand,27544,megawatthours
2024-05-04T19,SOCO,"Southern Company Services, Inc. - Trans",Demand,28105,megawatthours
2024-05-04T20,SOCO,"Southern Company Services, Inc. - Trans",Demand,28838,megawatthours
2024-05-04T21,SOCO,"Southern Company Services, Inc. - Trans",Demand,29372,megawatthours
2024-05-04T22,SOCO,"Southern Company Services, Inc. - Trans",Demand,29737,megawatthours
2024-05-04T23,SOCO,"Southern Company Services, Inc. - Trans",Demand,29383,megawatthours
2024-05-05T00,SOCO,"Southern Company Services, Inc. - Trans",Demand,28563,megawatthours
2024-05-05T01,SOCO,"Southern Company Services, Inc. - Trans",Demand,27758,megawatthours
2024-05-05T02,SOCO,"Southern Company Services, Inc. - Trans",Demand,26892,megawatthours
2024-05-05T03,SOCO,"Southern Company Services, Inc. - Trans",Demand,25324,megawatthours
2024-05-05T04,SOCO,"Southern Company Services, Inc. - Trans",Demand,23714,megawatthours
2024-05-05T05,SOCO,"Southern Company Services, Inc. - Trans",Demand,22177,megawatthours
2024-05-05T06,SOCO,"Southern Company Services, Inc. - Trans",Demand,21365,megawatthours
2024-05-05T07,SOCO,"Southern Company Services, Inc. - Trans",Demand,20440,megawatthours
2024-05-05T08,SOCO,"Southern Company Services, Inc. - Trans",Demand,19947,megawatthours
2024-05-05T09,SOCO,"Southern Company Services, Inc. - Trans",Demand,19801,megawatthours
2024-05-05T10,SOCO,"Southern Company Services, Inc. - Trans",Demand,19708,megawatthours
2024-05-05T11,SOCO,"Southern Company Services, Inc. - Trans",Demand,19680,megawatthours
2024-05-05T12,SOCO,"Southern Company Services, Inc. - Trans",Demand,19686,megawatthours
2024-05-05T13,SOCO,"Southern Company Services, Inc. - Trans",Demand,21127,megawatthours
2024-05-05T14,SOCO,"Southern Company Services, Inc. - Trans",Demand,22886,megawatthours
2024-05-05T15,SOCO,"Southern Company Services, Inc. - Trans",Demand,24466,megawatthours
2024-05-05T16,SOCO,"Southern Company Services, Inc. - Trans",Demand,26293,megawatthours
2024-05-05T17,SOCO,"Southern Company Services, Inc. - Trans",Demand,28198,megawatthours
2024-05-05T18,SOCO,"Southern Company Services, Inc. - Trans",Demand,29857,megawatthours
2024-05-05T19,SOCO,"Southern Company Services, Inc. - Trans",Demand,31090,megawatthours
2024-05-05T20,SOCO,"Southern Company Services, Inc. - Trans",Demand,31638,megawatthours
2024-05-05T21,SOCO,"Southern Company Services, Inc. - Trans",Demand,31661,megawatthours
2024-05-05T22,SOCO,"Southern Company Services, Inc. - Trans",Demand,31146,megawatthours
